"rules","support","confidence","coverage","lift","count"
"{frozen vegetables} => {whole milk}",0.0204372140315201,0.424947145877378,0.0480935434672089,1.66309398316913,201
"{whole milk} => {frozen vegetables}",0.0204372140315201,0.0799840827695981,0.255516014234875,1.66309398316913,201
"{beef} => {whole milk}",0.0212506354855109,0.405038759689922,0.0524656837824098,1.58517954697588,209
"{whole milk} => {beef}",0.0212506354855109,0.0831675288499801,0.255516014234875,1.58517954697588,209
"{curd} => {whole milk}",0.026131164209456,0.490458015267176,0.0532791052364006,1.91948053328797,257
"{whole milk} => {curd}",0.026131164209456,0.102268205332272,0.255516014234875,1.91948053328797,257
"{pork} => {other vegetables}",0.0216573462125064,0.375661375661376,0.0576512455516014,1.94147642124521,213
"{other vegetables} => {pork}",0.0216573462125064,0.111928533893852,0.193492628368073,1.94147642124521,213
"{pork} => {whole milk}",0.0221657346212506,0.384479717813051,0.0576512455516014,1.5047186727781,218
"{whole milk} => {pork}",0.0221657346212506,0.0867489056904099,0.255516014234875,1.5047186727781,218
"{frankfurter} => {whole milk}",0.0205388917132689,0.348275862068965,0.0589730554143366,1.36302948804149,202
"{whole milk} => {frankfurter}",0.0205388917132689,0.0803820135296458,0.255516014234875,1.36302948804149,202
"{bottled beer} => {whole milk}",0.0204372140315201,0.253787878787879,0.0805287239450941,0.993236684392673,201
"{whole milk} => {bottled beer}",0.0204372140315201,0.0799840827695981,0.255516014234875,0.993236684392673,201
"{brown bread} => {whole milk}",0.0252160650737163,0.38871473354232,0.0648703609557702,1.5212930379581,248
"{whole milk} => {brown bread}",0.0252160650737163,0.0986868284918424,0.255516014234875,1.5212930379581,248
"{margarine} => {whole milk}",0.0241992882562278,0.413194444444444,0.0585663446873411,1.61709803466419,238
"{whole milk} => {margarine}",0.0241992882562278,0.0947075208913649,0.255516014234875,1.61709803466419,238
"{butter} => {other vegetables}",0.0200305033045247,0.361467889908257,0.0554143365531266,1.86812227916327,197
"{other vegetables} => {butter}",0.0200305033045247,0.103520756699947,0.193492628368073,1.86812227916327,197
"{butter} => {whole milk}",0.02755465175394,0.497247706422018,0.0554143365531266,1.94605300145665,271
"{whole milk} => {butter}",0.02755465175394,0.107839235972941,0.255516014234875,1.94605300145665,271
"{newspapers} => {whole milk}",0.0273512963904423,0.342675159235669,0.0798169801728521,1.34111030285826,269
"{whole milk} => {newspapers}",0.0273512963904423,0.107043374452845,0.255516014234875,1.34111030285826,269
"{domestic eggs} => {other vegetables}",0.0222674123029995,0.350961538461538,0.0634468734112862,1.81382382068798,219
"{other vegetables} => {domestic eggs}",0.0222674123029995,0.115081450341566,0.193492628368073,1.81382382068798,219
"{domestic eggs} => {whole milk}",0.0299949161159126,0.47275641025641,0.0634468734112862,1.85020266409542,295
"{whole milk} => {domestic eggs}",0.0299949161159126,0.117389574214087,0.255516014234875,1.85020266409542,295
"{fruit/vegetable juice} => {other vegetables}",0.0210472801220132,0.291139240506329,0.0722928317234367,1.50465287986324,207
"{other vegetables} => {fruit/vegetable juice}",0.0210472801220132,0.108775617446138,0.193492628368073,1.50465287986324,207
"{fruit/vegetable juice} => {whole milk}",0.0266395526182003,0.368495077355837,0.0722928317234367,1.44216040023663,262
"{whole milk} => {fruit/vegetable juice}",0.0266395526182003,0.104257859132511,0.255516014234875,1.44216040023663,262
"{whipped/sour cream} => {yogurt}",0.0207422470767667,0.28936170212766,0.0716827656329436,2.07425097698654,204
"{yogurt} => {whipped/sour cream}",0.0207422470767667,0.14868804664723,0.139501779359431,2.07425097698654,204
"{whipped/sour cream} => {other vegetables}",0.0288764616166751,0.402836879432624,0.0716827656329436,2.08192365171827,284
"{other vegetables} => {whipped/sour cream}",0.0288764616166751,0.149238045191802,0.193492628368073,2.08192365171826,284
"{whipped/sour cream} => {whole milk}",0.0322318251143874,0.449645390070922,0.0716827656329436,1.75975424247812,317
"{whole milk} => {whipped/sour cream}",0.0322318251143874,0.126144050935137,0.255516014234875,1.75975424247812,317
"{pip fruit} => {tropical fruit}",0.0204372140315201,0.270161290322581,0.075648195221149,2.57464756814204,201
"{tropical fruit} => {pip fruit}",0.0204372140315201,0.194767441860465,0.10493136756482,2.57464756814204,201
"{pip fruit} => {other vegetables}",0.026131164209456,0.345430107526882,0.0756481952211489,1.78523652523746,257
"{other vegetables} => {pip fruit}",0.026131164209456,0.135049921177089,0.193492628368073,1.78523652523746,257
"{pip fruit} => {whole milk}",0.0300965937976614,0.397849462365591,0.075648195221149,1.55704316051158,296
"{whole milk} => {pip fruit}",0.0300965937976614,0.117787504974134,0.255516014234875,1.55704316051158,296
"{pastry} => {soda}",0.0210472801220132,0.236571428571429,0.0889679715302491,1.35666472303207,207
"{soda} => {pastry}",0.0210472801220132,0.12069970845481,0.174377224199288,1.35666472303207,207
"{pastry} => {rolls/buns}",0.0209456024402644,0.235428571428571,0.0889679715302491,1.27995577667219,206
"{rolls/buns} => {pastry}",0.0209456024402644,0.11387506909895,0.183934926283681,1.27995577667219,206
"{pastry} => {other vegetables}",0.0225724453482461,0.253714285714286,0.0889679715302491,1.31123489227535,222
"{other vegetables} => {pastry}",0.0225724453482461,0.116657908565423,0.193492628368073,1.31123489227535,222
"{pastry} => {whole milk}",0.033248601931876,0.373714285714286,0.0889679715302491,1.46258654994031,327
"{whole milk} => {pastry}",0.033248601931876,0.130123358535615,0.255516014234875,1.46258654994031,327
"{citrus fruit} => {yogurt}",0.0216573462125064,0.261670761670762,0.0827656329435689,1.87575214360929,213
"{yogurt} => {citrus fruit}",0.0216573462125064,0.155247813411079,0.139501779359431,1.87575214360929,213
"{citrus fruit} => {other vegetables}",0.0288764616166751,0.348894348894349,0.0827656329435689,1.80314026346606,284
"{other vegetables} => {citrus fruit}",0.0288764616166751,0.149238045191802,0.193492628368073,1.80314026346606,284
"{citrus fruit} => {whole milk}",0.0305033045246568,0.368550368550369,0.0827656329435689,1.44237679056621,300
"{whole milk} => {citrus fruit}",0.0305033045246568,0.119379228014326,0.255516014234875,1.44237679056621,300
"{shopping bags} => {soda}",0.0246059989832232,0.249742002063983,0.0985256736146416,1.43219393020366,242
"{soda} => {shopping bags}",0.0246059989832232,0.141107871720117,0.174377224199288,1.43219393020366,242
"{shopping bags} => {other vegetables}",0.0231825114387392,0.235294117647059,0.0985256736146416,1.21603659855955,228
"{other vegetables} => {shopping bags}",0.0231825114387392,0.119810825013137,0.193492628368073,1.21603659855955,228
"{shopping bags} => {whole milk}",0.0245043213014743,0.248710010319917,0.0985256736146416,0.973363689413604,241
"{whole milk} => {shopping bags}",0.0245043213014743,0.0959013131715082,0.255516014234875,0.973363689413604,241
"{sausage} => {soda}",0.0243009659379766,0.258658008658009,0.0939501779359431,1.48332449863062,239
"{soda} => {sausage}",0.0243009659379766,0.13935860058309,0.174377224199288,1.48332449863062,239
"{sausage} => {rolls/buns}",0.0306049822064057,0.325757575757576,0.0939501779359431,1.7710479588589,301
"{rolls/buns} => {sausage}",0.0306049822064057,0.166390270867883,0.183934926283681,1.7710479588589,301
"{sausage} => {other vegetables}",0.0269445856634469,0.286796536796537,0.0939501779359431,1.48220911161006,265
"{other vegetables} => {sausage}",0.0269445856634469,0.139253809774041,0.193492628368073,1.48220911161006,265
"{sausage} => {whole milk}",0.0298932384341637,0.318181818181818,0.0939501779359431,1.24525196252216,294
"{whole milk} => {sausage}",0.0298932384341637,0.116991643454039,0.255516014234875,1.24525196252216,294
"{bottled water} => {soda}",0.028978139298424,0.262189512419503,0.110523640061007,1.50357659163021,285
"{soda} => {bottled water}",0.028978139298424,0.166180758017493,0.174377224199288,1.50357659163021,285
"{bottled water} => {yogurt}",0.0229791560752415,0.207911683532659,0.110523640061007,1.49038732328258,226
"{yogurt} => {bottled water}",0.0229791560752415,0.164723032069971,0.139501779359431,1.49038732328258,226
"{bottled water} => {rolls/buns}",0.0241992882562278,0.218951241950322,0.110523640061007,1.19037339114506,238
"{rolls/buns} => {bottled water}",0.0241992882562278,0.131564400221117,0.183934926283681,1.19037339114506,238
"{bottled water} => {other vegetables}",0.0248093543467209,0.224471021159154,0.110523640061007,1.16010115244366,244
"{other vegetables} => {bottled water}",0.0248093543467209,0.128218602207042,0.193492628368073,1.16010115244366,244
"{bottled water} => {whole milk}",0.0343670564311134,0.310947562097516,0.110523640061007,1.21693962325072,338
"{whole milk} => {bottled water}",0.0343670564311134,0.13450059689614,0.255516014234875,1.21693962325072,338
"{tropical fruit} => {root vegetables}",0.0210472801220132,0.200581395348837,0.10493136756482,1.84022203661923,207
"{root vegetables} => {tropical fruit}",0.0210472801220132,0.193097014925373,0.108998474834774,1.84022203661923,207
"{tropical fruit} => {soda}",0.0208439247585155,0.198643410852713,0.10493136756482,1.13915915203291,205
"{soda} => {tropical fruit}",0.0208439247585155,0.119533527696793,0.174377224199288,1.13915915203291,205
"{tropical fruit} => {yogurt}",0.0292831723436706,0.27906976744186,0.10493136756482,2.00047460844803,288
"{yogurt} => {tropical fruit}",0.0292831723436706,0.209912536443149,0.139501779359431,2.00047460844803,288
"{tropical fruit} => {rolls/buns}",0.0246059989832232,0.234496124031008,0.10493136756482,1.274886334906,242
"{rolls/buns} => {tropical fruit}",0.0246059989832232,0.133775566611388,0.183934926283681,1.274886334906,242
"{tropical fruit} => {other vegetables}",0.0358922216573462,0.342054263565891,0.10493136756482,1.7677896385552,353
"{other vegetables} => {tropical fruit}",0.0358922216573462,0.185496584340515,0.193492628368073,1.7677896385552,353
"{tropical fruit} => {whole milk}",0.0422979156075241,0.403100775193798,0.10493136756482,1.57759495584202,416
"{whole milk} => {tropical fruit}",0.0422979156075241,0.165539196179865,0.255516014234875,1.57759495584202,416
"{root vegetables} => {yogurt}",0.0258261311642095,0.236940298507463,0.108998474834774,1.69847509899482,254
"{yogurt} => {root vegetables}",0.0258261311642095,0.185131195335277,0.139501779359431,1.69847509899482,254
"{root vegetables} => {rolls/buns}",0.0243009659379766,0.22294776119403,0.108998474834774,1.21210128874698,239
"{rolls/buns} => {root vegetables}",0.0243009659379766,0.132117191818684,0.183934926283681,1.21210128874698,239
"{root vegetables} => {other vegetables}",0.047381799694967,0.434701492537313,0.108998474834774,2.2466049285888,466
"{other vegetables} => {root vegetables}",0.047381799694967,0.244876510772465,0.193492628368073,2.2466049285888,466
"{root vegetables} => {whole milk}",0.0489069649211998,0.448694029850746,0.108998474834774,1.75603095247994,481
"{whole milk} => {root vegetables}",0.0489069649211998,0.191404695582969,0.255516014234875,1.75603095247994,481
"{soda} => {yogurt}",0.0273512963904423,0.156851311953353,0.174377224199288,1.12436782293092,269
"{yogurt} => {soda}",0.0273512963904423,0.196064139941691,0.139501779359431,1.12436782293092,269
"{soda} => {rolls/buns}",0.0383324860193188,0.219825072886297,0.174377224199288,1.19512415248023,377
"{rolls/buns} => {soda}",0.0383324860193188,0.208402432283029,0.183934926283681,1.19512415248023,377
"{soda} => {other vegetables}",0.0327402135231317,0.187755102040816,0.174377224199288,0.970347571503641,322
"{other vegetables} => {soda}",0.0327402135231317,0.169206516027325,0.193492628368073,0.970347571503641,322
"{soda} => {whole milk}",0.0400610066090493,0.229737609329446,0.174377224199288,0.899112370774016,394
"{whole milk} => {soda}",0.0400610066090493,0.156784719458814,0.255516014234875,0.899112370774016,394
"{yogurt} => {rolls/buns}",0.0343670564311134,0.246355685131195,0.139501779359431,1.33936327433129,338
"{rolls/buns} => {yogurt}",0.0343670564311134,0.186843559977888,0.183934926283681,1.33936327433129,338
"{yogurt} => {other vegetables}",0.0434163701067616,0.311224489795918,0.139501779359431,1.6084565723294,427
"{other vegetables} => {yogurt}",0.0434163701067616,0.224382553862323,0.193492628368073,1.6084565723294,427
"{yogurt} => {whole milk}",0.0560244026436197,0.401603498542274,0.139501779359431,1.57173514053453,551
"{whole milk} => {yogurt}",0.0560244026436197,0.219259848786311,0.255516014234875,1.57173514053453,551
"{rolls/buns} => {other vegetables}",0.0426029486527707,0.231619679380873,0.183934926283681,1.19704653006353,419
"{other vegetables} => {rolls/buns}",0.0426029486527707,0.22017866526537,0.193492628368073,1.19704653006353,419
"{rolls/buns} => {whole milk}",0.0566344687341129,0.307904919845218,0.183934926283681,1.20503178936638,557
"{whole milk} => {rolls/buns}",0.0566344687341129,0.221647433346598,0.255516014234875,1.20503178936638,557
"{other vegetables} => {whole milk}",0.0748347737671581,0.386757750919601,0.193492628368073,1.51363409482462,736
"{whole milk} => {other vegetables}",0.0748347737671581,0.292877039395145,0.255516014234875,1.51363409482462,736
"{other vegetables,root vegetables} => {whole milk}",0.0231825114387392,0.489270386266094,0.047381799694967,1.91483257020575,228
"{root vegetables,whole milk} => {other vegetables}",0.0231825114387392,0.474012474012474,0.0489069649211998,2.44977019543494,228
"{other vegetables,whole milk} => {root vegetables}",0.0231825114387392,0.309782608695652,0.0748347737671581,2.84208204899416,228
"{other vegetables,yogurt} => {whole milk}",0.0222674123029995,0.51288056206089,0.0434163701067616,2.00723451168677,219
"{whole milk,yogurt} => {other vegetables}",0.0222674123029995,0.397459165154265,0.0560244026436197,2.05413078785717,219
"{other vegetables,whole milk} => {yogurt}",0.0222674123029995,0.297554347826087,0.0748347737671581,2.13297887089618,219
